dialogue1|dialogue2
3 382 235 15 657 16 106 1772 88 10 194 224 1217 692 1877 217 31|5 217 37
5 86 15 38 11 3864 34 552 5327 31|3 20 1732 3504 881 4 20 8501 582 31
2 404 6 144 38 994 2 3253 87 35 3534 5854 2596 57 3062 15 38 120 2 75 35 1700 1481 6216 31|2 105 46 71 4 44 62 15 116 58 162 1486 15 1211 464 11 349 96 6217 107 15 38 11 162 353 20 354 15 38 57 58 45 35 865 244 16 15 58 62 37
1 129 836 37|4 114 7882 61 58 75 525 515 6
7 86 15 287 11 293 44 45 34 35 2561 15 62 2 114 692 31 11 283 15 16 560 28 37|6 1416 6 464 461 464 16 560 88 11 73 18 4 193 114 3046 38 1357 7 989 16 175 20 1531 7 161 654 16 91 70 35 7220 31 35 7220 6
7 11 344 31 11 348 16 96 162 102 3960 4038 175 2697 35 4039 281 31|5 191 15 11 348 3903 172 105 193 62 4040 15 2652 31
1 191 15 292 2 458 126 852 114 2344 31|3 235 31
3 382 462 15 11 73 32 203 31|6 382 15 282 50 37 114 2313 87 20 5871 429 2710 6
7 881 37|2 122 15 203 31 11 2110 3915 744 16 15 946 5502 3861 8 32 75 318 13 114 454 2125 31 3905 175 1154 439 31
5 382 31|1 16 395 15 16 1093 34 460 28 249 2318 31
5 382 6|3 382 15 279 589 31 88 395 15 3477 16 5528 104 1877 31 228 132 168 303 10986 10987 75 224 253 31
6 276 62 170 45 8 88 120 170 2084 15 20 195 8218 70 3498 6 163 6 62 170 45 8 88 120 170 2084 20 195 8218 70 17120 6 8543 15 395 37|5 122 15 235 589 15 11 34 35 13368 31
2 91 104 71 6 114 226 10415 58 3960 401 37 6 53 114 221 31 3905 162 2452 15 6918 242 37|6 86 15 11 358 242 129 31
6 62 2 59 88 1060 31|5 53 15 86 15 969 244 16 4 181 15 16 44 45 34 4 2978 141 11040 9
3 172 44 11 897 7812 5327 37|2 11 358 88 2 16 31
1 6195 31|7 50 2 13 27 20 5352 80 5589 37
2 11 170 1714 31|5 19 182 37
5 58 88 50 3988 486 249 28 101 37|2 11 96 154 486 249 62 31
6 382 31|3 382 6
5 2377 31|7 395 15 58 224 416 235 37
5 124 6 425 4251 31|2 382 6
1 11 395 15 11 44 45 102 15 11 348 11 73 8 458 126 344 15 344 50 2518 31|4 1843 15 5603 714 31
1 97 15 287 6818 23 30 320 16 930 15 3858 8 35 692 6|4 8 35 692 6
6 53 86 15 70 1 129 9493 244 88 6|5 40 6 16 91 37 1198 13148 71 31
3 640 6 152 6 3988 458 126 318 47 32 277 31 4350 15 3929 20 8547 80 27 20 2296 2354 31 382 15 5502 20 15239 37|4 86 31
7 395 94 395 94 4685 94 4685 482 291 230 37|4 395 15 242 129 230 4 774 435 13 16 31
7 288 15 62 170 2623 1211 16 31|3 1843 6
7 1919 31|3 3358 31
1 16 622 318 71 37|4 6368 31
1 7820 6 6 11 302 318 4 48 13 16 31|4 162 6 37
5 88 170 650 31|2 11 102 31 382 15 44 16 82 242 1093 34 8 3532 1154 1155 1550 37 242 1093 34 8 248 35 911 31 2082 1577 194 101 242 210 23 230 15 67 1154 776 1059 31
6 654 239 16 1571 235 2 5565 3392 31|4 40 35 1183 31 235 332 35 5565 3392 37
5 16 283 16 3915 150 62 194 57 37|3 20 13214 10 21 20 574 6 152 6
5 191 419 15 94 94 1504 31|7 382 15 50 129 16 482 291 961 187 37
3 191 15 533 7094 228 7095 31|5 16 84 508 26 431 31
1 16 210 34 20 186 2748 15 320 16 46 31|4 191 15 11 178 358 32 31 16 703 13 132 31
5 287 242 17 59 797 4 5 754 6|2 11 102 6 62 2 8 88 532 606 76 77 220 170 20 525 297 11 183 851 555 31 282 37 11 847 88 32 277 101 31 120 2 114 375 1076 31
5 50 35 7017 6|7 53 15 11 210 59 749 3866 479 1154 2822 4 411 7018 31
2 97 15 7 176 45 6 7 12893 4 23 35 17757 4 150 19 80 9130 31|3 53 6 191 88 2 62 6 7 2 20 186 525 4 48 31 11 73 4558 16 482 75 31
6 32 176 13344 870 16 20 1556 37|5 86 15 3858 488 31
2 382 15 104 1031 11 169 254 114 10 170 31|7 53 86 86 15 223 221 16 106 230 4 16998 27 20 854 6
1 50 37 6 97 6 97 6 40 6 3988 28 15 57 58 1505 31 292 3334 50 64 358 37 11 283 15 11 283 242 70 1563 540 28 37 3857 3 25 13 88 31 384 175 31 13113 37 5051 37 9870 37 57 58 6831 31|7 122 6
7 224 5324 15 991 37|3 86 31 5317 244 736 37
6 53 114 221 15 332 120 703 104 27 37|1 1345 31
5 97 15 97 15 97 15 97 6 97 15 97 15 97 15 97 6 62 2 54 15 62 2 54 31 11 176 45 48 31 44 45 3571 15 62 2 8 35 840 6 11 73 224 3255 235 2143 1252 58 27 11 34 6|2 54 15 8 32 16 102 15 11 73 458 126 23 16062 194 961 432 20 2889 15 32 44 45 959 883 75 20 881 2469 988 31
4 50 249 27 20 893 16 46 4 879 814 37|3 91 15 320 3861 1024 814 35 195 292 3997 1531 449 141 35 1059 15 90 346 11 3864 46 4 23 13 88 195 6 241 346 4008 8 44 62 75 20 2221 80 20 894 6
2 452 62 19 6 6|6 54 6 54 6 3861 32 620 3988 230 31
2 50 37 6|4 3880 48 4 2254 31
7 97 15 11 44 45 102 26 31|6 3864 357 4 193 26 241 383 15 43 7 2 59 1 15 7 2 19 31 726 665 15 726 1623 8 2517 31
3 5016 6 6 5738 15 5738 15 5738 31 5739 6|2 88 58 32 1252 31 149 71 344 88 35 1136 31
7 282 16 463 84 411 57 31 6818 23 1910 244 70 665 15 35 2426 7837 1760 31|6 11 94 15 35 7838 37 97 15 5036 15 97 31
4 50 37 384 175 15 16 44 50 16 46 4 44 31 44 242 284 34 4 44 851 453 37|2 16 102 50 37 16 17 28 31
4 97 15 344 57 58 45 249 20 2199 2290 15 57 58 249 16 1318 114 1196 31 222 276 16 48 546 31 11 316 45 2207 88 324 210 11 37|1 849 71 15 224 15 224 15 224 1196 37 220 276 404 15 114 1196 31 177 44 16 3198 71 4 1989 320 16 970 45 149
3 162 31 38 50 44 16 283 16 96 34 503 1865 37 16 34 503 13 71 15 237 88 443 242 1223 326 7679 38 16 2959 71 4989 2703 4 41 88 3056 37|1 29 15 16 129 458 126 318 57 10 31 9506 58 70 20 1673 9512 6
1 177 463 16 59 5 240 37|3 11 44 45 102 15 11 170 293 18628 265 97 525 302 532 882 19 31
5 1843 15 11 170 25 15 88 2 50 105 710 4 2502 1255 31|2 16 102 50 57 58 15 57 58 240 440 797 244 20 4547 31
2 382 6 410 714 6|6 86 15 1919 31
7 53 97 15 3864 23 4402 31 11 8 3045 6910 353 371 31|2 7931 3254 37
7 97 15 88 2 59 794 50 11 2270|5 191 15 282 15 1401 893 302 127 244 918 482 70 240 31
5 54 15 129 16 2091 13040 58 303 13042 37|1 3960 435 37
2 11 102 31 254 44 16 125 126 48 41 37|4 53 15 53 15 11 318 88 12790 1556 31
5 11 170 59 8867 31|1 38 175 224 3513 15 244 2548 6
5 191 15 20 2533 4798 58 35 206 269 16991 272 20 700 4798 31|1 11 316 45 749 57 31 59 60 114 16992 2836 1623 37 38 11 6563 88 10 6
2 203 15 408 31|6 282 15 1 2 458 126 23 584 80 540 146 31
5 54 31 11 125 126 1336 20 3895 31|7 16 125 126 1336 37
1 382 15 382 15 5549 15 16 46 9 80 57 15 991 37 16 46 35 2748 80 57 15 991 37 11 73|5 382 15 382 15 326 482 129 4112 1154 146 6
7 27 28 15 194 20 1964 31|7 672 5695 15 189 5707 31
1 3664 15 533 358 11 827 19 35 277 2790 5192 15 3861 239 11 210 654 62 57 443 31 11 8 11 8 3997 23 4663 4 150 35 425 840 275 271 9602 31|3 382 6
5 11 44 45 102 31 11 316 45 418 11 8 15 11 316 45 150 47 19 80 114 281 31 282 37 11 283 15 11 73 35 165 1060 297 31 11 73 35 165 15 165 1060 297 31 11 73 35 393 297 31 97 16 17 59 235 6 242 622 318 16 235 6|2 53 2980 15 236 15 11 358 11 511 224 2188 31
3 239 31 32 177 461 16 460 94|7 237 261 16 106 35 425 1035 15 11 710 4 189 16 4 20 3414 3415 38 870 16 20 226 3416 37
7 10783 2 6 10784 6|5 153 6 846 15 462 15 170 458 126 5 35 641 31
7 162 37|1 86 37
4 86 191 686 242 5 26 31|2 191 15 320 16 17 458 126 23 84 11848 249 57 15 11 316 45 7100 13 16 6 27 28 37 159 15 320 16 125 126 5 26 15 5 26 31 11 8 44 45 46 4 23 35 574 80 62 31
7 11 748 62 51 165 191 31|4 97 6 62 3915 6 3903 50 11 46 4 445 4 16 249 31 101 15 8 4 1634 16 11 1093 3571 15 287 105 129 59 9341 80 9557 241 80 9558 15 287 8 80 71 67 57 4453 13 16 31
2 382 31|1 16 482 102 254 220 58 37
3 530 152 6|5 1907 37
2 86 31|7 382 408 15 382 16 31
4 40 15 533 8 228 12459|6 86 15 11 102 946 16 34 27 20 410 637 31 50 44 11 150 37 11 150 10416 15 699 12460 53 11 73 203 15 11 34 12461 1112 62 31
5 53 91 15 62 2 20 195 242 1471 31|3 382 31 210 15 395 15 210 242 451 16 37
1 384 175 6 6|4 15278 15 392 6 11 102 16 318 224 454 2284 15 287 11 210 2119 560 16 6 302 16 15 392 15 8 149 71 181 818 4 114 1008 37
5 7175 37 6|4 191 15 946 120 5733 16 38 946 16 318 47 31
6 32 50 37 6 88 3875 553 16 20 28 4 12002 71 6|3 382 15 16 210 409 1858 13 1037 320 1 58 20 2653 244 68 6
5 2814 11 2815 37|4 271 27 1239 31
4 86 6 122 16008 31 382 15 172 44 16 358 120 1404 16025 13230 189 114 5337 37|7 62 16025 5814 27 28 3118 15 62 3383 9 3269 35 657 4 150 62 15 287 15560 16025 13230 1978 31 62 16025 16028 1993 31
3 442 9 80 88 146 170 45 254 16 228 62 170 458 126 23 15 287 94 11 651 62 12 31|5 62 58 59 54 88 11 73 6504 271 57 101 31
2 57 33 45 10415 16 6 6|7 53 6 203 15 11 348 11 170 4707 324 271 20 1538 80 114 416 6
3 86 15 86 31 3858 70 114 554 4 553 24 74 4 20 3868 4798 31|1 5502 224 374 59 4500 4 701 13 552 80 224 7032 31
2 11 83 182 6|7 1842 6
3 419 15 7 3997 654 62 15 7 228 7 87 4 726 94 7803 6|7 29 37 29 2296 37
1 382 482 31|7 382 31
7 5502 15 1 129 63 64 292 463 452 224 2058 435 1 31|3 53 162 37 191 15 346 16 38 11 48 19 244 4066 37 3988 20 540 525 28 37
3 4389 6 11 1378 199 13801 15 3905 15273 1 6 54 6 16 6|4 27 28 29 6 88 58 648 6 330 15 464 488 38 2391 464 57 952 58 15 3858 59 9611 31 54 37 3516 3864 34 35 3436 9916 15 105 3864 34 552 7550 15 38 20 10395 296 332 175 525 334 6
7 32 2504 6|7 54 31 16 797 4 328 217 37
7 11 3997 1069 244 9966 15 287 994 58 75 35 3512 15 5185 562 31|1 1799 15 144 15 32 106 242 31 27 28 15 2587 2134 244 35 407 15 994 10303 132 862 105 162 275 62 324 31 5502 37 10304 3877 450 74 194 20 2290 15 38 3516 154 104 35 10305 244 35 1804 80 4066 15 3877 1714 15 5502 15 132 10306 4216 132 713 3857 10307 15 3858 454 31 3858 1600 31 129 16 664 71 1 3901 60 20 10308 2653 80 24 1360 37
4 50 37 6|2 35 136 1280 80 2584 15 101 384 175 6
6 11 102 11 73 59 15 287 16 129 15 38 11 170 876 4 5240 224 707 31|3 124 37 53 15 122 31 86 15 1334 175 35 1335 31 204 15 62 2 5218 15 244 16 31
6 16 102 15 176 16 2350 2446 37 43 11 349 1378 94 94 53 15 11 344 94 62 2 59 249 88 28 101 31 1843 31|4 282 15 11 102 62 2 84 2447 38 242 34 853 3 75 2448 15 38 242 44 45 60 1069 20 429 1241 287 2449 94 31
1 20 4546 3927 149 240 150 303 12102 6 101 242 21 22 150 35 2822 6 6 176 35 12395 2474 435 175 16 37|3 382 6 3858 10102 6 6
5 462 37|6 991 37
7 50 58 377 32 461 37 6 11 283 313 6|4 32 57 58 1990 31
4 11 102 31 86 15 344 15 3857 32 277 4 44 38 11 34 32 425 443 4 44 62 75 31|5 27 28 15 1571 62 19 31 1571 57 19 31 62 123 230 88 3857 35 1556 16 210 48 4 1941 6389 80 27 20 8572 6 10416 2110 464 410 464 449 10452
6 16 654 62 32 1252 31|2 382 665 15 3960 57 37
1 3858 9506 15 38 3866 59 450 31|3 32 3920 460 7554 141 230 27 9569 37
5 172 302 222 23 255 2153 75 230 37|3 191 324 20 1964 80 114 281 3275 15 346 3929 67 47 4129 38 2996 62 555 31 16 449 20 4129 38 2153 449 20 555 31 241 6
2 101 11 73 305 88 7 306 47 20 226 307 308 15 38 120 2 162 59 166 249 62 31|5 309 241 310 311 37 312 6
7 11 210 1657 303 7622 4841 249 57 2443 31|2 177 302 88 48 37 191 15 62 176 45 1389 15 287 11 1358 62 31
3 162 37 358 249 62 31 384 175 6 16 17 35 488 195 15 1905 15 1252 15 242 87 35 162 410 443 15 991 37 320 11 87 224 202 15 172 302 45 11 193 16 37|7 11 44 45 102 94 191 15 346 11 73 25 94 11 73 203 94
4 86 31|7 2238 71 4 7422 13 16 116 4049 58 1295 38 116 58 3154 31
2 382 31|5 382 31
5 191 15 62 3595 114 3685 19 80 3923 31|7 224 94 849 71 37
7 176 59 15 120 176 59 6312 104 16 94 31|5 991 31
4 382 6|6 153 15 50 35 640 675 6 2981 176 16 150 62 37
6 54 15 159 6 159 6 819 15677 31|7 50 129 105 70 37 3871 96 87 525 31
1 836 125 126 459 74 38 189 1154 776 2985 37|4 86 15 880 3861 59 18 31
1 392 44 45 189 47 388 194 71 6|7 53 122 15 384 175 75 31 11 73 19123 15 20 8821 2196 31
7 53 392 6 62 170 509 35 226 2687 6 16 96 60 2000 71 6|1 50 37 80 728 11 176 6 16 395 15 16 4513 881 4 6741 13110 31
2 530 15 162 37 525 443 7 8 285 104 114 1847 38 62 9037 1308 31|4 11 44 59 102 50 2 25 13 240 15 11 283 15 242 34 2888 107 38 88 2 460 640 6 287 57 443 62 170 3422 4914 38 11 170 165 2091 80 20 1638 88 62 170 29 2425 71 31
7 191 15 395 15 179 11 358 249 7390 114 4917 15 242 463 1876 4 7559 15|2 54 15 32 15 395 15 242 17 75 7559 15 242 17 541 20 2818 31 44 16 344 35 425
5 1919 1919 31|5 404 37
6 54 31|2 129 16 72 37
7 38 90 242 349 21 22 150 9 701 31|1 86 15 62 2 162 5233 961 187 1154 443 31
3 185 15 3411 2 230 31|7 991 37
2 11 1615 11 3915 102 120 170 35 4391 6 11 283 15166 16 149 47 1288 75 230 37|5 47 1650 6018 58 622 175 224 6935 15167 15 44 16 162 46 4 445 249 1332 37
7 191 15 346 88 2 946 16 1029 245 567 4514 71 31 11 283 15 302 62 34 460 32 775 4 181 4515 15 4511 265 37 241 4318 4516 265 37|2 53 15 1124 11 73 32 203 6
5 282 15 11 349 87 2865 70 57 31|4 695 15 16 162 316 45 1531 4 2046 15 210 16 37 224 379 1725 58 440 433 94 425 4396 4397 19 175 224 4398 94
4 530 6|1 124 6
2 530 6 244 8 35 515 16 482 129 162 903 15 991 37|6 86 15 62 2 118 31 11 316 45 451 62 866 7 2 32 263 15 7 2 70 57 425 6611 1250 15 282 37 287 70 35 162 3458 525 88 3112 1060 482 31 148 15 11 8 318 7832 2306 80 4200 15 282 37 6 16 8 70 316 45 173 224 2945 324 1563 540 31
7 50 37 7 2 1762 6|5 191 15 86 94 2552 2553 75 2554 31
1 202 2294 276 20 526 16 897 31|3 382 15 204 6 50 129 16 1130 265 37
1 53 15 3988 30 4 47 31|4 120 332 20 10866 6
5 4586 15 320 242 149 47 347 15 120 322 347 1550 6|2 293 70 224 13874 31
5 846 404 15 20 11556 549 20 11557 6|1 4349 31
4 32 50 129 16 458 126 44 37|1 11 34 97 492 31 97 869 50 11 44 15 866 15 11 73 622 458 126 23 35 770 31
3 6642 6 6 6|7 86 37
3 1308 20 3392 6 6|4 50 37 6
5 48 31|1 395 94 31 4417 6 4417 6
2 11866 6|5 54 6
5 191 15 16 34 4 1270 13 47 6 880 16 1093 358 88 3988 18 92 20 429 10446 15 287 3988 162 18 92 2036 4251 31|3 3861 458 126 189 88 3056 38 4412 16 4 1668 13 62 31
6 10637 15 463 11 445 4 525 80 767 37 62 2 165 165 1138 31|7 97 15 11 73 7147 13 16 101 31 11 73 18 4 545 16 324 31
4 191 15 532 606 11 170 6497 38 6498 104 75 965 80 114 1037 15 11 73 8 15 11 44 45 102 15 59 75 35 1042 6499 833 80 4555 31|1 28 31 28 15 54 15 54 31 11 73 203 31 11 73 203 11 6498 31
6 53 31 53 6|2 53 114 221 6
1 86 37|5 302 16 5 47 11 149 16 3575 392 37
4 11 463 45 23 4388 31 222 37|6 222 15 75 241 19 37
3 4045 23 640 244 881 3062 31 11 283 15 4045 23 8070 31|1 3960 18 175 37
7 59 175 4537 15 7 8750 80 16 38 21 71 31|7 3861 664 16 15 11 353 9 8751 31 11 21 35 1035 3483 8752 75 20 323 31
7 5447 62 58 6|2 382 15 177 176 62 48 13 6642 15 58 7 458 126 149 16 173 20 8394 37
5 16 493 37|3 86 31
4 404 15 287 622 31 105 17 64 13 1216 31|6 191 15 11 176 45 150 2977 4106 881 4 847 31 287 97 15 54 31 97 15 97 15 11 210 344 172 4106 13 71 302 23 3082 4 16 31 86 15 54 31 16 17 4167 31
1 114 375 1076 38 114 2344 6 11 210 59 749 57 31|2 191 15 57 58 20 186 3392 80 224 2040 31 11 16025 8887 8 458 126 3616 62 15 12418 106 16 486 37 699
3 382 6767 31|7 382 6 189 371 13363 4 675 9822 38 88 10 431 1 1015 20 13364 31
6 5917 6|1 2067 6
7 148 15 148 15 6121 1732 37|7 97 15 97 15 4286 31 16 102 172 37 4285 7 2 700 31
1 11 169 62 31 32 15 58 120 132 194 12 37|3 404 31
5 53 15 88 302 23 222 31 382 15 330 15 11 125 126 2219 35 2224 360 15 2097 1029 20 187 15 11 162 125 126 654 47 2225 31|2 53 15 16 21 20 379 187 15 991 37
7 846 6 1354 15 8303 6 282 37 91 15 320 16 46 4 150 74 104 204 15 11 83 230 244 16 31 162 37 3342 15 11 8304 181 15 11 181 242 150 74 104 26 28 175 57 813 31 28 230 6|4 53 221 31 3861 203 249 57 31
5 16 10687 71 37|2 16312 31
7 32 3858 8 224 115 90 31|6 122 15 57 236 194 7023 3674 4722 15 210 11 1069 4 224 14170 2851 392 37 10431 15 152 31 122 10431 15 57 58 236 194 7023 3674 4722 6910 70 4 445 4 16 249 224 14168 2755 31
6 242 463 41 20 2400 6 3858 7987 31|5 53 640 15 1017 13 321 175 62 31
1 6841 11 102 50 3988 876 4 2207 230 31 54 37 3858 59 458 126 12 31|7 3861 59 876 4 2207 383 31 91 15 11 318 16 7436 31
1 97 15 946 120 7184 384 814 754 31 38 120 7184 460 814 27 187 6 3929 1886 351 13 88 540 10 15 38 3861 20 1505 8508 292 1029 20 379 187 789 47 2312 6|2 27 28 31 261 58 15 261 58 20 881 2942 19 37
5 153 15 53 15 53 15 88 2 47 31|1 86 15 43 331 2 8 88 833 31
6 244 50 62 2 1607 15 242 302 34 511 47 320 242 106 104 20 28 2984 31|1 5917 31
2 88 58 96 410 31|5 90 11 21 27 3555 38 6700 31
7 86 15 614 15 11 170 431 1 15 90 16 228 15 3860 71 15 124 847 15 699 32 101 3861 230 31|3 97 15 97 94 177 384 16 129 1960 230 37
5 38 16 17 458 126 654 767 27 11480 31|3 86 15 70 16 463 882 24 464 732 464 57 31
3 382 6 11 83 12026 13 114 14710 31|6 54 15 313 31
2 235 15 230 16 48 15 21 224 2704 2647 2705 15 16 21 224 2706 1434 15 224 2707 1737 2708 2 15 38 224 911 2709 2710 80 2711 31|4 40 15 40 15 235 15 57 58 50 16 17 2712 265 244 2647 65 37 50 15 50 15 50 58 62 13 16 38 57 2713 37
5 86 15 120 170 104 6276 6277 5551 13 47 2125 15 120 285 32 166 31 11 2110 131 1060 244 7497 88 7498 1445 104 767 31|3 644 15 11 237 20 777 443 11 1223 88 546 7499 15 867 242 529 435 31 120 170 8 1765 13 47 1076 7500 15 8 1714 38 578 31 221 15 62 780 71 31
1 210 16 392 59 44 88 747 777 37 16 102 254 726 11184 58 6 11183 1771 15 16 8 228 62 6|7 62 123 230 88 20 5361 51 28 49 224 334 31
1 53 382 15 7200 15 46 71 4 600 20 6779 244 836 37|7 62 2 1877 20 590 31
6 53 15 16 17 59 35 6534 31|7 11 8 15 11 46 16 4 102 11 176 45 710 4 23 70 57 31 107 11 1102 224 2344 11 170 70 57 4160 10 292 3131 6535 38 6536 6537 31
1 86 31|1 122 31 3861 204 1179 31 11 385 75 20 225 31
2 292 58 1440 75 4944 80 5643 31|1 5653 5654 281 2254 3693 292 58 1440 75 4944 80 5643 94
4 3 6 16 48 6|2 191 15 11421 170 57 10 104 20 1306 88 11 748 170 1762 665 15 287 11 44 45 1865 31
4 239 462 15 16 102 15 88 2 50 62 2 1 244 15 4876 38 5339 6658 31|3 384 175 1059 15 384 175 6
7 16 7472 224 2125 35 4391 37|2 3929 35 6365 31
3 241 59 31 395 15 408 15 172 3864 16 8 1876 75 13 71 37|1 2042 6 2042 6 2042 15 29 6
6 162 37|5 53 15 44 16 59 46 4 37
3 38 11 70 4 358 11 87 35 425 24 4 44 13 62 31|5 162 37 50 37
7 29 6|3 122 6
2 53 15 97 6 11 283 15 1886 242 46 4 344 16 189 224 2040 324 6 16 226 2748 80 1170 1720 6|7 1843 15 1843 15 2050 6 210 11 34 224 1369 15 392 37 176 132 193 244 20 461 5222 80 20 4593 37 11 178 10137 16 15 11 34 35 7740 13756 6 11 164 16 17 286 13 20 4924 18156 3143 15 1843 15 1843 15 648 11611 31 101 244 9 14827 6
4 846 6|7 62 6890 175 224 5520 15 287 2128 7105 358 3858 162 503 31
6 94 70 35 94|4 94 3338 94 3338 644 6
7 53 220 15 3861 32 203 31 11 3915 283 4 13396 16 31 3858 8 88 15 261 326 13397 1308 15 16 775 4 903 6955 31 287 105 129 2534 101 31 749 71 31|4 3861 32 620 15 3861 32 620 16 9715 31 38 3861 620 88 3988 493 31 50 44 16 181 242 665
1 53 162 6 172 58 88 37|2 946 20 2356 1187 57 6
1 873 37 6|4 97 15 20 540 381 31 11 162 358 3858 640 105 12 360 19 31
7 853 6 287 1198 302 162 131 111 249 71 13126 16 320 224 681 1076 210 3715 244 114 2199 37|5 191 15 20 472 1015 50 62 1015 31 3936 344 16 674 31
5 191 15 62 2 6651 1 129 97 410 4440 31|7 191 15 149 2 48 4 35 1060 525 38 654 19 31
2 235 6 11 34 4 5 16 15 16 897 32 8110 11 34 4 150 435 31 11 73 59 723 31|5 11 358 16 897 640 6
7 597 6 969 597 31|2 530 6 11 3997 749 11 457 10445 303 597 31
4 3858 35 12586 31 3858 21 27 80 371 12599 31 777 3857 35 3246 80 12600 15 90 35 3246 80 4637 15 90 12601 15 116 11 651 194 2171 15 90 12602 15 269 12600 15 90 1355 12603 13 2757 38 2758 15 90 35 425 269 12601 15 38 90 4543 15 38 90 11 8 452 9 595 582 175 1964 6|1 12604 170 20 525 28 107 4543 37
3 17612|1 62 2 27 1960 19 6 71 3983 13541 15 38 16 63 31 16 102 50 242 178 44 37
7 957 6|4 332 730 682 114 958 100 37
1 129 16 340 224 1035 1998 1434 111 272 114 1035 37|3 16 8 553 26 35 601 1059 6
5 382 15 434 435 6 6 3988 59 114 401 184 6 6|3 382 15 210 16 903 88 1595 235 37 114 3133 210 545 1579 431 230 6
1 53 114 221 31|7 91 104 88 31
1 3861 35 7856 230 395 15 204 1179 31|7 204 1179 15 172 44 11 102 88 416 37 3858 13869 6 176 16 1657 57 37
4 176 11 847 62 37 176 11 847 62 37|3 97 15 11 73 175 28 867 57 10 6220 792 31
6 18370 37|3 97 31
4 553 62 230 31 53 15 221 31|2 54 31
4 1843 15 204 15 330 4 71 15 11 83 59 1065 4 1966 31|1 287 15 16 129 31
1 50 2 20 574 15 11493 37|4 382 15 44 45 330 4 767 31 11 358 62 2 1761 31
6 50 33 120 283 271 19099 37|5 62 1239 242 17 1284 2945 31
4 86 6|1 867 525 2687 37 11 3864 358 32 31
2 404 11 176 15 11 16025 8887 222 15 5474 719|4 16 129 20 6651 1059 16135 16136 6
7 129 16 35 425 324 147 37 3858 18 10618 5839 31|3 91 15 114 375 1037 129 440 216 75 70 303 251 31 54 37 38 3861 20 14346 31 392 6 392 6 210 16 2207 62 453 37
1 13636 13637 31 11 237 261 120 559 71 19 175 47 7809 258 120 3927 149 71 451 104 27 31|4 849 71 15 11 1171 16 4 451 15 287 16 6824 1876 224 3014 946 16 106 325 918 331 7864 31
5 4463 64 181 20 5580 360 31|2 11 1171 62 244 567 6 11 170 458 126 654 1666 244 114 2354 31
7 86 15 86 15 86 15 86 15 86 15 330 15 11 83 4344 104 35 4345 31 149 2 44 62 31|6 204 15 463 242 392 15 392 15 392 330 4 383 713 37
